Count of Victims,Age Group,Sex,Method of Killing,Domestic Abuse,Recorded Date,Homicide Offence Type,Solved Status,Borough,Officer Observed Ethnicity
1,35 to 44,Female Victim,Knife or Sharp Implement,0,Dec-03,Murder,Solved,Greenwich,White
1,65 and over,Female Victim,Other Methods of Killing,0,Dec-03,Manslaughter,Solved,Greenwich,White
1,13 to 19,Male Victim,Knife or Sharp Implement,0,Dec-03,Murder,Solved,Greenwich,White
1,35 to 44,Female Victim,"Physical Assault, no weapon",0,Jan-03,Murder,Solved,Croydon,White
1,35 to 44,Male Victim,Knife or Sharp Implement,0,Apr-03,Murder,Solved,Croydon,White
1,20 to 24,Female Victim,Other Methods of Killing,0,May-03,Murder,Solved,Croydon,White
1,13 to 19,Female Victim,Other Methods of Killing,0,Jun-03,Murder,Solved,Croydon,Asian
1,35 to 44,Male Victim,Knife or Sharp Implement,0,Jul-03,Murder,Solved,Croydon,Asian
1,35 to 44,Male Victim,Other Methods of Killing,0,Jul-03,Murder,Solved,Croydon,White
1,35 to 44,Female Victim,Blunt Implement,0,Aug-03,Murder,Solved,Croydon,Asian
1,25 to 34,Male Victim,Knife or Sharp Implement,0,Oct-03,Murder,Solved,Croydon,Asian
1,13 to 19,Male Victim,Other Methods of Killing,0,Dec-03,Murder,Solved,Croydon,White
1,25 to 34,Female Victim,Shooting,0,Mar-03,Murder,Solved,Bexley,Asian
1,0 to 12,Male Victim,Other Methods of Killing,0,Dec-03,Murder,Solved,Sutton,White
1,20 to 24,Female Victim,"Physical Assault, no weapon",1,Jan-03,Murder,Solved,Tower Hamlets,White
1,25 to 34,Female Victim,Knife or Sharp Implement,0,Feb-03,Murder,Unsolved,Tower Hamlets,White
1,20 to 24,Male Victim,Knife or Sharp Implement,0,Mar-03,Murder,Solved,Tower Hamlets,Black
1,25 to 34,Male Victim,Other Methods of Killing,0,Apr-03,Murder,Solved,Tower Hamlets,Asian
1,45 to 54,Male Victim,Knife or Sharp Implement,1,May-03,Murder,Solved,Tower Hamlets,White
1,25 to 34,Female Victim,"Physical Assault, no weapon",1,May-03,Murder,Solved,Tower Hamlets,White
1,65 and over,Female Victim,Other Methods of Killing,0,Jul-03,Murder,Solved,Tower Hamlets,Asian
1,65 and over,Female Victim,"Physical Assault, no weapon",0,Jul-03,Murder,Solved,Tower Hamlets,White
1,35 to 44,Male Victim,Knife or Sharp Implement,0,Aug-03,Murder,Solved,Tower Hamlets,Black
1,25 to 34,Male Victim,Knife or Sharp Implement,0,Oct-03,Murder,Solved,Tower Hamlets,Asian
1,45 to 54,Female Victim,Knife or Sharp Implement,1,Dec-03,Murder,Solved,Tower Hamlets,Asian
1,20 to 24,Male Victim,Shooting,0,Mar-03,Murder,Unsolved,Redbridge,Asian
1,13 to 19,Male Victim,Knife or Sharp Implement,0,Jun-03,Murder,Solved,Redbridge,Asian
1,0 to 12,Male Victim,Other Methods of Killing,0,Jun-03,Murder,Solved,Redbridge,White
1,25 to 34,Male Victim,Knife or Sharp Implement,0,Jul-03,Murder,Solved,Redbridge,White
1,25 to 34,Male Victim,Knife or Sharp Implement,1,Jul-03,Murder,Solved,Redbridge,White
1,25 to 34,Female Victim,Knife or Sharp Implement,1,Aug-03,Murder,Solved,Redbridge,White
1,35 to 44,Female Victim,Knife or Sharp Implement,1,Oct-03,Murder,Solved,Redbridge,White
1,25 to 34,Male Victim,Not known/Not Recorded,0,May-03,Murder,Solved,Hackney,Black
1,25 to 34,Female Victim,Other Methods of Killing,0,Jun-03,Murder,Solved,Hackney,Black
1,13 to 19,Male Victim,Shooting,0,Jun-03,Murder,Solved,Hackney,Black
1,65 and over,Male Victim,Knife or Sharp Implement,0,Jun-03,Murder,Unsolved,Hackney,White
1,0 to 12,Male Victim,Other Methods of Killing,0,Jul-03,Murder,Solved,Hackney,White
1,0 to 12,Male Victim,Other Methods of Killing,0,Jul-03,Murder,Solved,Hackney,White
1,35 to 44,Male Victim,Other Methods of Killing,0,Jul-03,Murder,Solved,Hackney,Black
1,45 to 54,Male Victim,Other Methods of Killing,0,Aug-03,Murder,Solved,Hackney,Black
1,13 to 19,Male Victim,Knife or Sharp Implement,0,Aug-03,Murder,Solved,Hackney,Asian
1,25 to 34,Male Victim,Other Methods of Killing,0,Oct-03,Murder,Solved,Hackney,White
1,25 to 34,Female Victim,Other Methods of Killing,0,Oct-03,Murder,Solved,Hackney,White
1,25 to 34,Male Victim,Other Methods of Killing,0,Oct-03,Murder,Solved,Hackney,Black
1,45 to 54,Male Victim,Knife or Sharp Implement,0,Oct-03,Murder,Solved,Hackney,White
1,65 and over,Female Victim,Knife or Sharp Implement,1,Oct-03,Murder,Solved,Hackney,Black
1,20 to 24,Male Victim,Shooting,0,Nov-03,Murder,Solved,Hackney,White
1,0 to 12,Female Victim,Other Methods of Killing,0,Dec-03,Murder,Unsolved,Hackney,Black
1,55 to 64,Male Victim,Blunt Implement,0,Dec-03,Murder,Solved,Hackney,White
1,20 to 24,Male Victim,Knife or Sharp Implement,0,Jan-03,Murder,Solved,Waltham Forest,Asian
1,45 to 54,Male Victim,Shooting,0,Mar-03,Murder,Solved,Waltham Forest,White
1,20 to 24,Male Victim,Knife or Sharp Implement,0,Mar-03,Murder,Solved,Waltham Forest,Black
1,35 to 44,Male Victim,Knife or Sharp Implement,0,Jun-03,Murder,Solved,Waltham Forest,White
1,20 to 24,Female Victim,"Physical Assault, no weapon",1,Jun-03,Murder,Solved,Waltham Forest,White
1,13 to 19,Male Victim,Shooting,0,Jul-03,Murder,Solved,Waltham Forest,Black
1,35 to 44,Male Victim,Other Methods of Killing,0,Aug-03,Murder,Solved,Waltham Forest,White
1,20 to 24,Male Victim,Knife or Sharp Implement,0,Oct-03,Murder,Solved,Waltham Forest,Asian
1,25 to 34,Female Victim,"Physical Assault, no weapon",1,Oct-03,Murder,Solved,Waltham Forest,Asian
1,45 to 54,Male Victim,Knife or Sharp Implement,0,Dec-03,Murder,Unsolved,Waltham Forest,White
1,55 to 64,Male Victim,Other Methods of Killing,0,Feb-03,Murder,Solved,Barking & Dagenham,White
1,65 and over,Female Victim,Knife or Sharp Implement,0,Feb-03,Murder,Solved,Barking & Dagenham,White
1,25 to 34,Male Victim,Knife or Sharp Implement,1,Apr-03,Murder,Solved,Barking & Dagenham,White
1,35 to 44,Male Victim,Other Methods of Killing,0,Jul-03,Murder,Solved,Barking & Dagenham,Black
1,45 to 54,Male Victim,Blunt Implement,0,Jul-03,Murder,Solved,Barking & Dagenham,Asian
1,65 and over,Male Victim,Other Methods of Killing,0,Dec-03,Manslaughter,Solved,Barking & Dagenham,Black
1,20 to 24,Female Victim,Blunt Implement,0,Mar-03,Murder,Solved,Redbridge,White
1,25 to 34,Male Victim,Knife or Sharp Implement,0,Jun-03,Murder,Solved,Enfield,White
1,20 to 24,Male Victim,Blunt Implement,0,Jun-03,Murder,Solved,Newham,Asian
1,25 to 34,Male Victim,Knife or Sharp Implement,1,Oct-03,Murder,Solved,Enfield,Black
1,55 to 64,Male Victim,Knife or Sharp Implement,0,Oct-03,Murder,Solved,Enfield,White
1,55 to 64,Male Victim,Blunt Implement,1,Nov-03,Murder,Solved,Enfield,White
1,45 to 54,Male Victim,Other Methods of Killing,0,Dec-03,Murder,Solved,Enfield,White
1,45 to 54,Male Victim,Other Methods of Killing,0,Jan-03,Murder,Unsolved,Newham,Asian
1,20 to 24,Female Victim,"Physical Assault, no weapon",0,Feb-03,Murder,Solved,Newham,Asian
1,20 to 24,Male Victim,Knife or Sharp Implement,0,Apr-03,Murder,Solved,Newham,Asian
1,20 to 24,Female Victim,"Physical Assault, no weapon",0,Jul-03,Murder,Solved,Newham,White
1,45 to 54,Female Victim,Knife or Sharp Implement,1,Jul-03,Murder,Solved,Newham,White
1,25 to 34,Female Victim,Knife or Sharp Implement,1,Jul-03,Murder,Solved,Newham,Asian
1,45 to 54,Male Victim,Shooting,0,Aug-03,Murder,Solved,Newham,Asian
1,35 to 44,Male Victim,Shooting,0,Aug-03,Murder,Solved,Newham,Asian
1,25 to 34,Male Victim,Knife or Sharp Implement,0,Sep-03,Murder,Solved,Newham,Asian
1,20 to 24,Male Victim,Knife or Sharp Implement,0,Oct-03,Murder,Solved,Newham,White
1,13 to 19,Male Victim,Knife or Sharp Implement,0,Jul-03,Murder,Solved,Newham,Black
1,25 to 34,Male Victim,Other Methods of Killing,0,May-03,Murder,Solved,Havering,White
1,25 to 34,Male Victim,Knife or Sharp Implement,0,Aug-03,Murder,Solved,Havering,White
1,20 to 24,Male Victim,Other Methods of Killing,0,Nov-03,Murder,Solved,Havering,White
1,20 to 24,Male Victim,"Physical Assault, no weapon",0,Nov-03,Murder,Solved,Havering,White
1,65 and over,Female Victim,Blunt Implement,0,Jan-03,Murder,Solved,Westminster,White
1,20 to 24,Female Victim,"Physical Assault, no weapon",0,Mar-03,Murder,Solved,Westminster,White
1,35 to 44,Male Victim,Knife or Sharp Implement,1,Apr-03,Murder,Solved,Westminster,White
1,25 to 34,Female Victim,Other Methods of Killing,0,Jan-03,Murder,Solved,Hammersmith & Fulham,Asian
1,13 to 19,Male Victim,Knife or Sharp Implement,0,Feb-03,Murder,Unsolved,Hammersmith & Fulham,Black
1,20 to 24,Male Victim,Knife or Sharp Implement,0,Aug-03,Murder,Solved,Hammersmith & Fulham,Black
1,35 to 44,Male Victim,Shooting,0,Nov-03,Murder,Unsolved,Hammersmith & Fulham,Other.
1,20 to 24,Female Victim,"Physical Assault, no weapon",0,Jan-03,Murder,Solved,Westminster,White
1,45 to 54,Female Victim,Not known/Not Recorded,1,Oct-03,Murder,Solved,Hammersmith & Fulham,White
1,35 to 44,Male Victim,Shooting,0,Jun-03,Murder,Unsolved,Westminster,Asian
1,25 to 34,Male Victim,Other Methods of Killing,0,Jul-03,Manslaughter,Solved,Westminster,White
1,55 to 64,Male Victim,Other Methods of Killing,0,Feb-03,Manslaughter,Solved,Westminster,White
1,25 to 34,Male Victim,Knife or Sharp Implement,0,Jan-03,Murder,Solved,Westminster,White
1,55 to 64,Male Victim,Blunt Implement,0,May-03,Murder,Unsolved,Kensington & Chelsea,White
1,45 to 54,Male Victim,Not known/Not Recorded,0,Apr-04,Murder,Solved,Wandsworth,White
1,13 to 19,Male Victim,Blunt Implement,0,Apr-04,Murder,Solved,Wandsworth,Black
1,20 to 24,Male Victim,Shooting,0,Nov-04,Murder,Solved,Wandsworth,Black
1,35 to 44,Female Victim,Not known/Not Recorded,1,Jun-04,Murder,Solved,Kingston Upon Thames,Asian
1,0 to 12,Male Victim,Other Methods of Killing,0,Jun-04,Murder,Unsolved,Kingston Upon Thames,Other.
1,35 to 44,Female Victim,Other Methods of Killing,1,Apr-04,Murder,Solved,Hounslow,Asian
1,13 to 19,Male Victim,Knife or Sharp Implement,0,Aug-04,Murder,Solved,Hounslow,Asian
1,45 to 54,Male Victim,Knife or Sharp Implement,0,Oct-04,Murder,Solved,Hounslow,White
1,25 to 34,Female Victim,"Physical Assault, no weapon",1,Jan-04,Murder,Solved,Richmond Upon Thames,White
1,25 to 34,Female Victim,"Physical Assault, no weapon",1,Feb-04,Murder,Solved,Richmond Upon Thames,Asian
1,20 to 24,Female Victim,Blunt Implement,0,Aug-04,Murder,Solved,Richmond Upon Thames,White
1,45 to 54,Male Victim,Knife or Sharp Implement,0,Sep-04,Murder,Solved,Richmond Upon Thames,White
1,55 to 64,Female Victim,Other Methods of Killing,0,Mar-04,Murder,Solved,Hillingdon,Asian
1,45 to 54,Female Victim,Knife or Sharp Implement,0,Mar-04,Murder,Solved,Hillingdon,White
1,0 to 12,Male Victim,Other Methods of Killing,0,Apr-04,Manslaughter,Unsolved,Hillingdon,Asian
1,20 to 24,Male Victim,Other Methods of Killing,0,Aug-04,Murder,Solved,Hillingdon,White
1,45 to 54,Male Victim,Knife or Sharp Implement,0,Jan-04,Murder,Solved,Lambeth,Black
1,20 to 24,Male Victim,Shooting,0,Jan-04,Murder,Solved,Lambeth,Black
1,35 to 44,Male Victim,Knife or Sharp Implement,0,Apr-04,Murder,Solved,Lambeth,Black
1,25 to 34,Male Victim,Knife or Sharp Implement,0,May-04,Murder,Solved,Lambeth,Black
1,20 to 24,Male Victim,Shooting,0,Jun-04,Murder,Solved,Lambeth,Black
1,25 to 34,Male Victim,Shooting,0,Jun-04,Murder,Solved,Lambeth,Black
1,35 to 44,Male Victim,Other Methods of Killing,0,Oct-04,Murder,Solved,Lambeth,White
1,45 to 54,Male Victim,Shooting,0,Nov-04,Murder,Solved,Lambeth,Black
1,35 to 44,Male Victim,Knife or Sharp Implement,0,Dec-04,Murder,Solved,Lambeth,Black
1,25 to 34,Female Victim,Other Methods of Killing,1,Jan-04,Murder,Solved,Merton,White
1,35 to 44,Male Victim,Not known/Not Recorded,0,Mar-04,Murder,Solved,Brent,White
1,35 to 44,Male Victim,Other Methods of Killing,0,May-04,Murder,Solved,Brent,Asian
1,25 to 34,Male Victim,Other Methods of Killing,0,May-04,Murder,Solved,Brent,Asian
1,20 to 24,Male Victim,Shooting,0,May-04,Murder,Solved,Brent,Black
1,0 to 12,Male Victim,Other Methods of Killing,0,Jun-04,Murder,Solved,Brent,Black
1,20 to 24,Male Victim,Knife or Sharp Implement,0,Jul-04,Murder,Solved,Brent,Black
1,25 to 34,Male Victim,Other Methods of Killing,0,Aug-04,Manslaughter,Unsolved,Brent,White
1,25 to 34,Male Victim,Shooting,0,Aug-04,Murder,Unsolved,Brent,Asian
1,25 to 34,Male Victim,Shooting,0,Aug-04,Murder,Solved,Brent,Black
1,35 to 44,Female Victim,Knife or Sharp Implement,1,Nov-04,Murder,Solved,Brent,Black
1,13 to 19,Female Victim,Knife or Sharp Implement,1,Nov-04,Murder,Solved,Brent,Black
1,0 to 12,Male Victim,Knife or Sharp Implement,1,Nov-04,Murder,Solved,Brent,Black
1,35 to 44,Male Victim,Shooting,0,Nov-04,Murder,Unsolved,Brent,Black
1,35 to 44,Male Victim,Knife or Sharp Implement,0,Nov-04,Murder,Solved,Brent,White
1,45 to 54,Male Victim,Not known/Not Recorded,0,Dec-04,Murder,Solved,Brent,White
1,35 to 44,Male Victim,Knife or Sharp Implement,0,May-04,Murder,Solved,Camden,White
1,65 and over,Male Victim,Knife or Sharp Implement,0,Sep-04,Murder,Solved,Camden,White
1,65 and over,Female Victim,Knife or Sharp Implement,0,Sep-04,Murder,Solved,Camden,White
1,65 and over,Male Victim,Other Methods of Killing,0,Dec-04,Murder,Solved,Camden,White
1,35 to 44,Female Victim,Not known/Not Recorded,1,Apr-04,Murder,Solved,Ealing,White
1,65 and over,Male Victim,Other Methods of Killing,0,Nov-04,Murder,Solved,Barnet,White
1,25 to 34,Male Victim,Knife or Sharp Implement,1,Mar-04,Murder,Solved,Ealing,White
1,13 to 19,Male Victim,Shooting,0,Mar-04,Murder,Unsolved,Ealing,Black
1,65 and over,Male Victim,Other Methods of Killing,0,Apr-04,Murder,Solved,Ealing,Asian
1,35 to 44,Female Victim,Not known/Not Recorded,1,Apr-04,Murder,Solved,Haringey,Black
1,13 to 19,Male Victim,Knife or Sharp Implement,0,May-04,Murder,Solved,Ealing,Black
1,45 to 54,Male Victim,Other Methods of Killing,0,Jun-04,Murder,Solved,Ealing,White
1,45 to 54,Female Victim,Knife or Sharp Implement,1,Oct-04,Murder,Solved,Ealing,Asian
1,45 to 54,Female Victim,Other Methods of Killing,0,Nov-04,Murder,Solved,Ealing,White
1,45 to 54,Female Victim,Knife or Sharp Implement,1,Nov-04,Murder,Solved,Ealing,White
1,25 to 34,Female Victim,Not known/Not Recorded,0,Apr-04,Murder,Solved,Islington,Black
1,20 to 24,Male Victim,Knife or Sharp Implement,0,May-04,Murder,Solved,Islington,White
1,25 to 34,Male Victim,Knife or Sharp Implement,0,Sep-04,Murder,Solved,Islington,Other.
1,20 to 24,Male Victim,Blunt Implement,0,Oct-04,Murder,Solved,Islington,Black
1,45 to 54,Male Victim,Knife or Sharp Implement,0,Jan-04,Murder,Solved,Haringey,White
1,35 to 44,Male Victim,Knife or Sharp Implement,0,Jan-04,Murder,Solved,Haringey,Black
1,55 to 64,Female Victim,"Physical Assault, no weapon",1,Jan-04,Murder,Solved,Haringey,White
1,25 to 34,Male Victim,Shooting,0,Mar-04,Murder,Solved,Haringey,Black
1,45 to 54,Male Victim,Knife or Sharp Implement,0,Apr-04,Murder,Solved,Haringey,White
1,13 to 19,Male Victim,Knife or Sharp Implement,0,Aug-04,Murder,Solved,Haringey,Black
1,25 to 34,Female Victim,Blunt Implement,1,Aug-04,Murder,Solved,Haringey,White
